itemd_id,instruction,begin,character,sensory_VP1,sensory_VP1_smell,sensory_DP_PP,end,sensory_VP2,sensory_VP2_smell,ADV_intensifier,PPT_JJ_general,PPT_JJ_specified_tbd,condition,whose_opinion_question,question_sensory_VP,question_sensory_VP_smell,question_PPT_JJ_general,question_PPT_JJ_specified,copua_option12,option_1,option_2,option_3
3,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我到家的时候，,李强,尝到了,尝到了,锅里的鱼。,它,尝起来,尝起来,绝对,恶心。,发腥。,taste,是谁认为鱼,尝起来,尝起来,恶心？,发腥？,是,叙述者的观点,李强的观点,叙述者和李强都这么认为
3,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我到家的时候，,李强,放好了,放好了,锅里的鱼。,它,非常,非常,绝对,恶心。,糟糕。,baseline,是谁认为鱼,非常,非常,恶心？,糟糕？,是,叙述者的观点,李强的观点,叙述者和李强都这么认为
4,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我进房间的时候，,赵丽,尝到了,尝到了,碗里的麻花。,它,尝起来,尝起来,真,糟糕。,发软。,taste,是谁认为麻花,尝起来,尝起来,糟糕？,发软？,是,叙述者的观点,赵丽的观点,叙述者和赵丽都这么认为
4,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我进房间的时候，,赵丽,放好了,放好了,碗里的麻花。,它,非常,非常,真,糟糕。,难吃。,baseline,是谁认为麻花,非常,非常,糟糕？,难吃？,是,叙述者的观点,赵丽的观点,叙述者和赵丽都这么认为
5,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我一踏进房间，,陈晨,看见了,看见了,台前的烤薯。,它,看起来,看起来,真,诱人。,金黄。,vision,是谁认为烤薯,看起来,看起来,诱人？,金黄？,是,叙述者的观点,陈晨的观点,叙述者和陈晨都这么认为
5,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我一踏进房间，,陈晨,闻到了,嗅到了,台前的烤薯。,它,闻起来,嗅起来,真,诱人。,香甜。,smell,是谁认为烤薯,闻起来,嗅起来,诱人？,香甜？,是,叙述者的观点,陈晨的观点,叙述者和陈晨都这么认为
5,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我一踏进房间，,陈晨,尝到了,尝到了,台前的烤薯。,它,尝起来,尝起来,真,诱人。,软糯。,taste,是谁认为烤薯,尝起来,尝起来,诱人？,软糯？,是,叙述者的观点,陈晨的观点,叙述者和陈晨都这么认为
5,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我一踏进房间，,陈晨,放好了,放好了,台前的烤薯。,它,非常,非常,真,诱人。,美味。,baseline,是谁认为烤薯,非常,非常,诱人？,美味？,是,叙述者的观点,陈晨的观点,叙述者和陈晨都这么认为
6,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我刚一走进去，,刘欣,看见了,看见了,桌上的蛋糕。,它,看起来,看起来,绝对,不错。,精致。,vision,是谁认为蛋糕,看起来,看起来,不错？,精致？,是,叙述者的观点,刘欣的观点,叙述者和刘欣都这么认为
6,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我刚一走进去，,刘欣,闻到了,嗅到了,桌上的蛋糕。,它,闻起来,嗅起来,绝对,不错。,香甜。,smell,是谁认为蛋糕,闻起来,嗅起来,不错？,香甜？,是,叙述者的观点,刘欣的观点,叙述者和刘欣都这么认为
6,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我刚一走进去，,刘欣,尝到了,尝到了,桌上的蛋糕。,它,尝起来,尝起来,绝对,不错。,绵软。,taste,是谁认为蛋糕,尝起来,尝起来,不错？,绵软？,是,叙述者的观点,刘欣的观点,叙述者和刘欣都这么认为
6,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我刚一走进去，,刘欣,放好了,放好了,桌上的蛋糕。,它,非常,非常,绝对,不错。,美味。,baseline,是谁认为蛋糕,非常,非常,不错？,美味？,是,叙述者的观点,刘欣的观点,叙述者和刘欣都这么认为
7,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我刚一到，,孙磊,看见了,看见了,架上的烧饼。,它,看起来,看起来,真,诱人。,酥脆。,vision,是谁认为烧饼,看起来,看起来,诱人？,酥脆？,是,叙述者的观点,孙磊的观点,叙述者和孙磊都这么认为
7,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我刚一到，,孙磊,闻到了,嗅到了,架上的烧饼。,它,闻起来,嗅起来,真,诱人。,焦香。,smell,是谁认为烧饼,闻起来,嗅起来,诱人？,焦香？,是,叙述者的观点,孙磊的观点,叙述者和孙磊都这么认为
7,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我刚一到，,孙磊,尝到了,尝到了,架上的烧饼。,它,尝起来,尝起来,真,诱人。,咸香。,taste,是谁认为烧饼,尝起来,尝起来,诱人？,咸香？,是,叙述者的观点,孙磊的观点,叙述者和孙磊都这么认为
7,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我刚一到，,孙磊,放好了,放好了,架上的烧饼。,它,非常,非常,真,诱人。,可口。,baseline,是谁认为烧饼,非常,非常,诱人？,可口？,是,叙述者的观点,孙磊的观点,叙述者和孙磊都这么认为
8,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我一走进去，,周敏,看见了,看见了,篮里的麻团。,它,看起来,看起来,极其,不错。,圆润。,vision,是谁认为麻团,看起来,看起来,不错？,圆润？,是,叙述者的观点,周敏的观点,叙述者和周敏都这么认为
8,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我一走进去，,周敏,闻到了,嗅到了,篮里的麻团。,它,闻起来,嗅起来,极其,不错。,甜香。,smell,是谁认为麻团,闻起来,嗅起来,不错？,甜香？,是,叙述者的观点,周敏的观点,叙述者和周敏都这么认为
8,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我一走进去，,周敏,尝到了,尝到了,篮里的麻团。,它,尝起来,尝起来,极其,不错。,软糯。,taste,是谁认为麻团,尝起来,尝起来,不错？,软糯？,是,叙述者的观点,周敏的观点,叙述者和周敏都这么认为
8,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我一走进去，,周敏,放好了,放好了,篮里的麻团。,它,非常,非常,极其,不错。,可口。,baseline,是谁认为麻团,非常,非常,不错？,可口？,是,叙述者的观点,周敏的观点,叙述者和周敏都这么认为
9,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我到了派对之后，,吴浩,看见了,看见了,盒里的酥饼。,它,看起来,看起来,无比,诱人。,金黄。,vision,是谁认为酥饼,看起来,看起来,诱人？,金黄？,是,叙述者的观点,吴浩的观点,叙述者和吴浩都这么认为
9,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我到了派对之后，,吴浩,闻到了,嗅到了,盒里的酥饼。,它,闻起来,嗅起来,无比,诱人。,油香。,smell,是谁认为酥饼,闻起来,嗅起来,诱人？,油香？,是,叙述者的观点,吴浩的观点,叙述者和吴浩都这么认为
9,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我到了派对之后，,吴浩,尝到了,尝到了,盒里的酥饼。,它,尝起来,尝起来,无比,诱人。,酥脆。,taste,是谁认为酥饼,尝起来,尝起来,诱人？,酥脆？,是,叙述者的观点,吴浩的观点,叙述者和吴浩都这么认为
9,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我到了派对之后，,吴浩,放好了,放好了,盒里的酥饼。,它,非常,非常,无比,诱人。,美味。,baseline,是谁认为酥饼,非常,非常,诱人？,美味？,是,叙述者的观点,吴浩的观点,叙述者和吴浩都这么认为
10,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我一到，,郑爽,看见了,看见了,盘里的春卷。,它,看起来,看起来,完全,不错。,金黄。,vision,是谁认为春卷,看起来,看起来,不错？,金黄？,是,叙述者的观点,郑爽的观点,叙述者和郑爽都这么认为
10,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我一到，,郑爽,闻到了,嗅到了,盘里的春卷。,它,闻起来,嗅起来,完全,不错。,鲜香。,smell,是谁认为春卷,闻起来,嗅起来,不错？,鲜香？,是,叙述者的观点,郑爽的观点,叙述者和郑爽都这么认为
10,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我一到，,郑爽,尝到了,尝到了,盘里的春卷。,它,尝起来,尝起来,完全,不错。,酥脆。,taste,是谁认为春卷,尝起来,尝起来,不错？,酥脆？,是,叙述者的观点,郑爽的观点,叙述者和郑爽都这么认为
10,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我一到，,郑爽,放好了,放好了,盘里的春卷。,它,非常,非常,完全,不错。,好吃。,baseline,是谁认为春卷,非常,非常,不错？,好吃？,是,叙述者的观点,郑爽的观点,叙述者和郑爽都这么认为
11,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我一回到家，,黄娟,看见了,看见了,锅里的煎饼。,它,看起来,看起来,真,诱人。,薄透。,vision,是谁认为煎饼,看起来,看起来,诱人？,薄透？,是,叙述者的观点,黄娟的观点,叙述者和黄娟都这么认为
11,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我一回到家，,黄娟,闻到了,嗅到了,锅里的煎饼。,它,闻起来,嗅起来,真,诱人。,谷香。,smell,是谁认为煎饼,闻起来,嗅起来,诱人？,谷香？,是,叙述者的观点,黄娟的观点,叙述者和黄娟都这么认为
11,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我一回到家，,黄娟,尝到了,尝到了,锅里的煎饼。,它,尝起来,尝起来,真,诱人。,软韧。,taste,是谁认为煎饼,尝起来,尝起来,诱人？,软韧？,是,叙述者的观点,黄娟的观点,叙述者和黄娟都这么认为
11,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我一回到家，,黄娟,放好了,放好了,锅里的煎饼。,它,非常,非常,真,诱人。,好吃。,baseline,是谁认为煎饼,非常,非常,诱人？,好吃？,是,叙述者的观点,黄娟的观点,叙述者和黄娟都这么认为
12,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我一走进房间，,徐涛,看见了,看见了,罐里的桃酥。,它,看起来,看起来,非常,不错。,酥松。,vision,是谁认为桃酥,看起来,看起来,不错？,酥松？,是,叙述者的观点,徐涛的观点,叙述者和徐涛都这么认为
12,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我一走进房间，,徐涛,闻到了,嗅到了,罐里的桃酥。,它,闻起来,嗅起来,非常,不错。,油香。,smell,是谁认为桃酥,闻起来,嗅起来,不错？,油香？,是,叙述者的观点,徐涛的观点,叙述者和徐涛都这么认为
12,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我一走进房间，,徐涛,尝到了,尝到了,罐里的桃酥。,它,尝起来,尝起来,非常,不错。,香甜。,taste,是谁认为桃酥,尝起来,尝起来,不错？,香甜？,是,叙述者的观点,徐涛的观点,叙述者和徐涛都这么认为
12,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我一走进房间，,徐涛,放好了,放好了,罐里的桃酥。,它,非常,非常,非常,不错。,好吃。,baseline,是谁认为桃酥,非常,非常,不错？,好吃？,是,叙述者的观点,徐涛的观点,叙述者和徐涛都这么认为
13,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我进房间的时候，,林芳,看见了,看见了,盘里的发糕。,它,看起来,看起来,真,恶心。,塌陷。,vision,是谁认为发糕,看起来,看起来,恶心？,塌陷？,是,叙述者的观点,林芳的观点,叙述者和林芳都这么认为
13,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我进房间的时候，,林芳,闻到了,嗅到了,盘里的发糕。,它,闻起来,嗅起来,真,恶心。,发酸。,smell,是谁认为发糕,闻起来,嗅起来,恶心？,发酸？,是,叙述者的观点,林芳的观点,叙述者和林芳都这么认为
13,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我进房间的时候，,林芳,尝到了,尝到了,盘里的发糕。,它,尝起来,尝起来,真,恶心。,发酸。,taste,是谁认为发糕,尝起来,尝起来,恶心？,发酸？,是,叙述者的观点,林芳的观点,叙述者和林芳都这么认为
13,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我进房间的时候，,林芳,放好了,放好了,盘里的发糕。,它,非常,非常,真,恶心。,难吃。,baseline,是谁认为发糕,非常,非常,恶心？,难吃？,是,叙述者的观点,林芳的观点,叙述者和林芳都这么认为
14,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我到家之后，,郭峰,看见了,看见了,纸上的肉饼。,它,看起来,看起来,极其,糟糕。,干瘪。,vision,是谁认为肉饼,看起来,看起来,糟糕？,干瘪？,是,叙述者的观点,郭峰的观点,叙述者和郭峰都这么认为
14,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我到家之后，,郭峰,闻到了,嗅到了,纸上的肉饼。,它,闻起来,嗅起来,极其,糟糕。,油腻。,smell,是谁认为肉饼,闻起来,嗅起来,糟糕？,油腻？,是,叙述者的观点,郭峰的观点,叙述者和郭峰都这么认为
14,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我到家之后，,郭峰,尝到了,尝到了,纸上的肉饼。,它,尝起来,尝起来,极其,糟糕。,干柴。,taste,是谁认为肉饼,尝起来,尝起来,糟糕？,干柴？,是,叙述者的观点,郭峰的观点,叙述者和郭峰都这么认为
14,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我到家之后，,郭峰,放好了,放好了,纸上的肉饼。,它,非常,非常,极其,糟糕。,难吃。,baseline,是谁认为肉饼,非常,非常,糟糕？,难吃？,是,叙述者的观点,郭峰的观点,叙述者和郭峰都这么认为
15,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我下班回到家，,唐勇,看见了,看见了,锅里的红烧肉。,它,看起来,看起来,绝对,恶心。,发白。,vision,是谁认为红烧肉,看起来,看起来,恶心？,发白？,是,叙述者的观点,唐勇的观点,叙述者和唐勇都这么认为
15,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我下班回到家，,唐勇,闻到了,嗅到了,锅里的红烧肉。,它,闻起来,嗅起来,绝对,恶心。,腥膻。,smell,是谁认为红烧肉,闻起来,嗅起来,恶心？,腥膻？,是,叙述者的观点,唐勇的观点,叙述者和唐勇都这么认为
15,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我下班回到家，,唐勇,尝到了,尝到了,锅里的红烧肉。,它,尝起来,尝起来,绝对,恶心。,发柴。,taste,是谁认为红烧肉,尝起来,尝起来,恶心？,发柴？,是,叙述者的观点,唐勇的观点,叙述者和唐勇都这么认为
15,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我下班回到家，,唐勇,放好了,放好了,锅里的红烧肉。,它,非常,非常,绝对,恶心。,难吃。,baseline,是谁认为红烧肉,非常,非常,恶心？,难吃？,是,叙述者的观点,唐勇的观点,叙述者和唐勇都这么认为
16,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我到的时候，,何璐,看见了,看见了,碗里的汤圆。,它,看起来,看起来,真,诱人。,圆润。,vision,是谁认为汤圆,看起来,看起来,诱人？,圆润？,是,叙述者的观点,何璐的观点,叙述者和何璐都这么认为
16,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我到的时候，,何璐,闻到了,嗅到了,碗里的汤圆。,它,闻起来,嗅起来,真,诱人。,甜香。,smell,是谁认为汤圆,闻起来,嗅起来,诱人？,甜香？,是,叙述者的观点,何璐的观点,叙述者和何璐都这么认为
16,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我到的时候，,何璐,尝到了,尝到了,碗里的汤圆。,它,尝起来,尝起来,真,诱人。,软糯。,taste,是谁认为汤圆,尝起来,尝起来,诱人？,软糯？,是,叙述者的观点,何璐的观点,叙述者和何璐都这么认为
16,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我到的时候，,何璐,放好了,放好了,碗里的汤圆。,它,非常,非常,真,诱人。,好吃。,baseline,是谁认为汤圆,非常,非常,诱人？,好吃？,是,叙述者的观点,何璐的观点,叙述者和何璐都这么认为
17,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我放学回到家，,宋阳,看见了,看见了,盘里的炒面。,它,看起来,看起来,非常,不错。,油亮。,vision,是谁认为炒面,看起来,看起来,不错？,油亮？,是,叙述者的观点,宋阳的观点,叙述者和宋阳都这么认为
17,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我放学回到家，,宋阳,闻到了,嗅到了,盘里的炒面。,它,闻起来,嗅起来,非常,不错。,酱香。,smell,是谁认为炒面,闻起来,嗅起来,不错？,酱香？,是,叙述者的观点,宋阳的观点,叙述者和宋阳都这么认为
17,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我放学回到家，,宋阳,尝到了,尝到了,盘里的炒面。,它,尝起来,尝起来,非常,不错。,筋道。,taste,是谁认为炒面,尝起来,尝起来,不错？,筋道？,是,叙述者的观点,宋阳的观点,叙述者和宋阳都这么认为
17,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我放学回到家，,宋阳,放好了,放好了,盘里的炒面。,它,非常,非常,非常,不错。,好吃。,baseline,是谁认为炒面,非常,非常,不错？,好吃？,是,叙述者的观点,宋阳的观点,叙述者和宋阳都这么认为
18,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我一到派对，,许静,看见了,看见了,炉上的蛋挞。,它,看起来,看起来,绝对,诱人。,酥脆。,vision,是谁认为蛋挞,看起来,看起来,诱人？,酥脆？,是,叙述者的观点,许静的观点,叙述者和许静都这么认为
18,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我一到派对，,许静,闻到了,嗅到了,炉上的蛋挞。,它,闻起来,嗅起来,绝对,诱人。,奶香。,smell,是谁认为蛋挞,闻起来,嗅起来,诱人？,奶香？,是,叙述者的观点,许静的观点,叙述者和许静都这么认为
18,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我一到派对，,许静,尝到了,尝到了,炉上的蛋挞。,它,尝起来,尝起来,绝对,诱人。,香甜。,taste,是谁认为蛋挞,尝起来,尝起来,诱人？,香甜？,是,叙述者的观点,许静的观点,叙述者和许静都这么认为
18,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我一到派对，,许静,放好了,放好了,炉上的蛋挞。,它,非常,非常,绝对,诱人。,可口。,baseline,是谁认为蛋挞,非常,非常,诱人？,可口？,是,叙述者的观点,许静的观点,叙述者和许静都这么认为
19,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我一走进房间，,丁磊,看见了,看见了,盒里的披萨。,它,看起来,看起来,非常,不错。,丰富。,vision,是谁认为披萨,看起来,看起来,不错？,丰富？,是,叙述者的观点,丁磊的观点,叙述者和丁磊都这么认为
19,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我一走进房间，,丁磊,闻到了,嗅到了,盒里的披萨。,它,闻起来,嗅起来,非常,不错。,芝香。,smell,是谁认为披萨,闻起来,嗅起来,不错？,芝香？,是,叙述者的观点,丁磊的观点,叙述者和丁磊都这么认为
19,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我一走进房间，,丁磊,尝到了,尝到了,盒里的披萨。,它,尝起来,尝起来,非常,不错。,咸香。,taste,是谁认为披萨,尝起来,尝起来,不错？,咸香？,是,叙述者的观点,丁磊的观点,叙述者和丁磊都这么认为
19,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我一走进房间，,丁磊,放好了,放好了,盒里的披萨。,它,非常,非常,非常,不错。,好吃。,baseline,是谁认为披萨,非常,非常,不错？,好吃？,是,叙述者的观点,丁磊的观点,叙述者和丁磊都这么认为
20,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我到聚会地点的时候，,沈洁,看见了,看见了,盘里的香肠。,它,看起来,看起来,真,诱人。,饱满。,vision,是谁认为香肠,看起来,看起来,诱人？,饱满？,是,叙述者的观点,沈洁的观点,叙述者和沈洁都这么认为
20,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我到聚会地点的时候，,沈洁,闻到了,嗅到了,盘里的香肠。,它,闻起来,嗅起来,真,诱人。,熏香。,smell,是谁认为香肠,闻起来,嗅起来,诱人？,熏香？,是,叙述者的观点,沈洁的观点,叙述者和沈洁都这么认为
20,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我到聚会地点的时候，,沈洁,尝到了,尝到了,盘里的香肠。,它,尝起来,尝起来,真,诱人。,咸鲜。,taste,是谁认为香肠,尝起来,尝起来,诱人？,咸鲜？,是,叙述者的观点,沈洁的观点,叙述者和沈洁都这么认为
20,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我到聚会地点的时候，,沈洁,放好了,放好了,盘里的香肠。,它,非常,非常,真,诱人。,好吃。,baseline,是谁认为香肠,非常,非常,诱人？,好吃？,是,叙述者的观点,沈洁的观点,叙述者和沈洁都这么认为
21,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我回到客厅的时候，,苏伟,看见了,看见了,碗里的爆米花。,它,看起来,看起来,真,不错。,蓬松。,vision,是谁认为爆米花,看起来,看起来,不错？,蓬松？,是,叙述者的观点,苏伟的观点,叙述者和苏伟都这么认为
21,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我回到客厅的时候，,苏伟,闻到了,嗅到了,碗里的爆米花。,它,闻起来,嗅起来,真,不错。,焦香。,smell,是谁认为爆米花,闻起来,嗅起来,不错？,焦香？,是,叙述者的观点,苏伟的观点,叙述者和苏伟都这么认为
21,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我回到客厅的时候，,苏伟,尝到了,尝到了,碗里的爆米花。,它,尝起来,尝起来,真,不错。,酥脆。,taste,是谁认为爆米花,尝起来,尝起来,不错？,酥脆？,是,叙述者的观点,苏伟的观点,叙述者和苏伟都这么认为
21,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我回到客厅的时候，,苏伟,放好了,放好了,碗里的爆米花。,它,非常,非常,真,不错。,好吃。,baseline,是谁认为爆米花,非常,非常,不错？,好吃？,是,叙述者的观点,苏伟的观点,叙述者和苏伟都这么认为
22,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我进了办公室之后，,马丽,看见了,看见了,台上的馒头。,它,看起来,看起来,真,恶心。,干硬。,vision,是谁认为馒头,看起来,看起来,恶心？,干硬？,是,叙述者的观点,马丽的观点,叙述者和马丽都这么认为
22,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我进了办公室之后，,马丽,闻到了,嗅到了,台上的馒头。,它,闻起来,嗅起来,真,恶心。,发酸。,smell,是谁认为馒头,闻起来,嗅起来,恶心？,发酸？,是,叙述者的观点,马丽的观点,叙述者和马丽都这么认为
22,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我进了办公室之后，,马丽,尝到了,尝到了,台上的馒头。,它,尝起来,尝起来,真,恶心。,发酸。,taste,是谁认为馒头,尝起来,尝起来,恶心？,发酸？,是,叙述者的观点,马丽的观点,叙述者和马丽都这么认为
22,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我进了办公室之后，,马丽,放好了,放好了,台上的馒头。,它,非常,非常,真,恶心。,难吃。,baseline,是谁认为馒头,非常,非常,恶心？,难吃？,是,叙述者的观点,马丽的观点,叙述者和马丽都这么认为
23,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我刚到茶话会，,朱丹,看见了,看见了,盘里的枣糕。,它,看起来,看起来,非常,糟糕。,塌陷。,vision,是谁认为枣糕,看起来,看起来,糟糕？,塌陷？,是,叙述者的观点,朱丹的观点,叙述者和朱丹都这么认为
