,itemd_id,instruction,begin,character,sensory_VP,sensory_DP_PP,end,sensory_VP_s2,ADV_intensifier,PPT_JJ,condition,whose_opinion_question,question_sensory_VP,question_PPT_JJ,option_1,option_2,option_3
106,27,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","Right after I entered,",James,tasted,the milkshake on the table.,It,tasted,truly,dreadful.,taste,Whose opinion is it that the milkshake,tasted,dreadful?,The narrator's,James's,Both the narrator and James have this opinion.
107,27,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","Right after I entered,",James,put,the milkshake on the table.,It,was,truly,dreadful.,baseline,Whose opinion is it that the milkshake,was,dreadful?,The narrator's,James's,Both the narrator and James have this opinion.
108,28,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","As soon as I went into the room,",Laura,saw,the sushi on the plate.,It,looked,extremely,revolting.,vision,Whose opinion is it that the sushi,looked,revolting?,The narrator's,Laura's,Both the narrator and Laura have this opinion.
109,28,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","As soon as I went into the room,",Laura,smelled,the sushi on the plate.,It,smelled,extremely,revolting.,smell,Whose opinion is it that the sushi,smelled,revolting?,The narrator's,Laura's,Both the narrator and Laura have this opinion.
110,28,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","As soon as I went into the room,",Laura,tasted,the sushi on the plate.,It,tasted,extremely,revolting.,taste,Whose opinion is it that the sushi,tasted,revolting?,The narrator's,Laura's,Both the narrator and Laura have this opinion.
111,28,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","As soon as I went into the room,",Laura,put,the sushi on the plate.,It,was,extremely,revolting.,baseline,Whose opinion is it that the sushi,was,revolting?,The narrator's,Laura's,Both the narrator and Laura have this opinion.
112,29,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","After I arrived at the party,",Thomas,saw,the salad on the table.,It,looked,absolutely,horrifying.,vision,Whose opinion is it that the salad,looked,horrifying?,The narrator's,Thomas's,Both the narrator and Thomas have this opinion.
113,29,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","After I arrived at the party,",Thomas,smelled,the salad on the table.,It,smelled,absolutely,horrifying.,smell,Whose opinion is it that the salad,smelled,horrifying?,The narrator's,Thomas's,Both the narrator and Thomas have this opinion.
114,29,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","After I arrived at the party,",Thomas,tasted,the salad on the table.,It,tasted,absolutely,horrifying.,taste,Whose opinion is it that the salad,tasted,horrifying?,The narrator's,Thomas's,Both the narrator and Thomas have this opinion.
115,29,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","After I arrived at the party,",Thomas,put,the salad on the table.,It,was,absolutely,horrifying.,baseline,Whose opinion is it that the salad,was,horrifying?,The narrator's,Thomas's,Both the narrator and Thomas have this opinion.
116,30,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","When I arrived,",Jessica,saw,the stir-fry on the table.,It,looked,very,pleasant.,vision,Whose opinion is it that the stir-fry,looked,pleasant?,The narrator's,Jessica's,Both the narrator and Jessica have this opinion.
117,30,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","When I arrived,",Jessica,smelled,the stir-fry on the table.,It,smelled,very,pleasant.,smell,Whose opinion is it that the stir-fry,smelled,pleasant?,The narrator's,Jessica's,Both the narrator and Jessica have this opinion.
118,30,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","When I arrived,",Jessica,tasted,the stir-fry on the table.,It,tasted,very,pleasant.,taste,Whose opinion is it that the stir-fry,tasted,pleasant?,The narrator's,Jessica's,Both the narrator and Jessica have this opinion.
119,30,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","When I arrived,",Jessica,put,the stir-fry on the table.,It,was,very,pleasant.,baseline,Whose opinion is it that the stir-fry,was,pleasant?,The narrator's,Jessica's,Both the narrator and Jessica have this opinion.
120,31,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","Right after I arrived at the party,",Daniel,saw,the hamburger on the table.,It,looked,extremely,unpleasant.,vision,Whose opinion is it that the hamburger,looked,unpleasant?,The narrator's,Daniel's,Both the narrator and Daniel have this opinion.
121,31,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","Right after I arrived at the party,",Daniel,smelled,the hamburger on the table.,It,smelled,extremely,unpleasant.,smell,Whose opinion is it that the hamburger,smelled,unpleasant?,The narrator's,Daniel's,Both the narrator and Daniel have this opinion.
122,31,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","Right after I arrived at the party,",Daniel,tasted,the hamburger on the table.,It,tasted,extremely,unpleasant.,taste,Whose opinion is it that the hamburger,tasted,unpleasant?,The narrator's,Daniel's,Both the narrator and Daniel have this opinion.
123,31,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","Right after I arrived at the party,",Daniel,put,the hamburger on the table.,It,was,extremely,unpleasant.,baseline,Whose opinion is it that the hamburger,was,unpleasant?,The narrator's,Daniel's,Both the narrator and Daniel have this opinion.
124,32,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","When I arrived,",Emily,saw,the coffee on the table.,It,looked,really,enticing.,vision,Whose opinion is it that the coffee,looked,enticing?,The narrator's,Emily's,Both the narrator and Emily have this opinion.
125,32,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","When I arrived,",Emily,smelled,the coffee on the table.,It,smelled,really,enticing.,smell,Whose opinion is it that the coffee,smelled,enticing?,The narrator's,Emily's,Both the narrator and Emily have this opinion.
126,32,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","When I arrived,",Emily,tasted,the coffee on the table.,It,tasted,really,enticing.,taste,Whose opinion is it that the coffee,tasted,enticing?,The narrator's,Emily's,Both the narrator and Emily have this opinion.
127,32,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","When I arrived,",Emily,put,the coffee on the table.,It,was,really,enticing.,baseline,Whose opinion is it that the coffee,was,enticing?,The narrator's,Emily's,Both the narrator and Emily have this opinion.
128,33,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","As soon as I came home,",John,saw,the chicken on the table.,It,looked,extremely,revolting.,vision,Whose opinion is it that the chicken,looked,revolting?,The narrator's,John's,Both the narrator and John have this opinion.
129,33,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","As soon as I came home,",John,smelled,the chicken on the table.,It,smelled,extremely,revolting.,smell,Whose opinion is it that the chicken,smelled,revolting?,The narrator's,John's,Both the narrator and John have this opinion.
130,33,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","As soon as I came home,",John,tasted,the chicken on the table.,It,tasted,extremely,revolting.,taste,Whose opinion is it that the chicken,tasted,revolting?,The narrator's,John's,Both the narrator and John have this opinion.
131,33,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","As soon as I came home,",John,put,the chicken on the table.,It,was,extremely,revolting.,baseline,Whose opinion is it that the chicken,was,revolting?,The narrator's,John's,Both the narrator and John have this opinion.
132,34,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","As soon as I came home,",Jessica,saw,the bacon on the plate.,It,looked,absolutely,amazing.,vision,Whose opinion is it that the bacon,looked,amazing?,The narrator's,Jessica's,Both the narrator and Jessica have this opinion.
133,34,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","As soon as I came home,",Jessica,smelled,the bacon on the plate.,It,smelled,absolutely,amazing.,smell,Whose opinion is it that the bacon,smelled,amazing?,The narrator's,Jessica's,Both the narrator and Jessica have this opinion.
134,34,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","As soon as I came home,",Jessica,tasted,the bacon on the plate.,It,tasted,absolutely,amazing.,taste,Whose opinion is it that the bacon,tasted,amazing?,The narrator's,Jessica's,Both the narrator and Jessica have this opinion.
135,34,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","As soon as I came home,",Jessica,put,the bacon on the plate.,It,was,absolutely,amazing.,baseline,Whose opinion is it that the bacon,was,amazing?,The narrator's,Jessica's,Both the narrator and Jessica have this opinion.
136,35,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","Right after I entered,",William,saw,the cheese on the table.,It,looked,extremely,unpleasant.,vision,Whose opinion is it that the cheese,looked,unpleasant?,The narrator's,William's,Both the narrator and William have this opinion.
137,35,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","Right after I entered,",William,smelled,the cheese on the table.,It,smelled,extremely,unpleasant.,smell,Whose opinion is it that the cheese,smelled,unpleasant?,The narrator's,William's,Both the narrator and William have this opinion.
138,35,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","Right after I entered,",William,tasted,the cheese on the table.,It,tasted,extremely,unpleasant.,taste,Whose opinion is it that the cheese,tasted,unpleasant?,The narrator's,William's,Both the narrator and William have this opinion.
139,35,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","Right after I entered,",William,put,the cheese on the table.,It,was,extremely,unpleasant.,baseline,Whose opinion is it that the cheese,was,unpleasant?,The narrator's,William's,Both the narrator and William have this opinion.
140,36,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","After I got home,",Jessica,saw,the milkshake on the table.,It,looked,really,amazing.,vision,Whose opinion is it that milkshake,looked,enticing?,The narrator's,Jessica's,Both the narrator and Jessica have this opinion.
141,36,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","After I got home,",Jessica,smelled,the milkshake on the table.,It,smelled,really,amazing.,smell,Whose opinion is it that milkshake,smelled,enticing?,The narrator's,Jessica's,Both the narrator and Jessica have this opinion.
142,36,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","After I got home,",Jessica,tasted,the milkshake on the table.,It,tasted,really,amazing.,taste,Whose opinion is it that milkshake,tasted,enticing?,The narrator's,Jessica's,Both the narrator and Jessica have this opinion.
143,36,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","After I got home,",Jessica,put,the milkshake on the table.,It,was,really,amazing.,baseline,Whose opinion is it that milkshake,was,enticing?,The narrator's,Jessica's,Both the narrator and Jessica have this opinion.
144,37,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","After I got home,",Robert,saw,the chicken on the tray.,It,looked,really,enticing.,vision,Whose opinion is it that chicken,looked,enticing?,The narrator's,Robert's,Both the narrator and Robert have this opinion.
145,37,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","After I got home,",Robert,smelled,the chicken on the tray.,It,smelled,really,enticing.,smell,Whose opinion is it that chicken,smelled,enticing?,The narrator's,Robert's,Both the narrator and Robert have this opinion.
146,37,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","After I got home,",Robert,tasted,the chicken on the tray.,It,tasted,really,enticing.,taste,Whose opinion is it that chicken,tasted,enticing?,The narrator's,Robert's,Both the narrator and Robert have this opinion.
147,37,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","After I got home,",Robert,put,the chicken on the tray.,It,was,really,enticing.,baseline,Whose opinion is it that chicken,was,enticing?,The narrator's,Robert's,Both the narrator and Robert have this opinion.
148,38,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","As soon as I came home,",Emily,saw,the cupcake on the table.,It,looked,incredibly,amazing.,vision,Whose opinion is it that the cupcake,looked,enticing?,The narrator's,Emily's,Both the narrator and Emily have this opinion.
149,38,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","As soon as I came home,",Emily,smelled,the cupcake on the table.,It,smelled,incredibly,amazing.,smell,Whose opinion is it that the cupcake,smelled,enticing?,The narrator's,Emily's,Both the narrator and Emily have this opinion.
150,38,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","As soon as I came home,",Emily,tasted,the cupcake on the table.,It,tasted,incredibly,amazing.,taste,Whose opinion is it that the cupcake,tasted,enticing?,The narrator's,Emily's,Both the narrator and Emily have this opinion.
151,38,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","As soon as I came home,",Emily,put,the cupcake on the table.,It,was,incredibly,amazing.,baseline,Whose opinion is it that the cupcake,was,enticing?,The narrator's,Emily's,Both the narrator and Emily have this opinion.
152,39,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","When I entered the room,",Robert,saw,the pizza on the counter.,It,looked,incredibly,enticing.,vision,Whose opinion is it that the pizza,looked,enticing?,The narrator's,Robert's,Both the narrator and Robert have this opinion.
153,39,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","When I entered the room,",Robert,smelled,the pizza on the counter.,It,smelled,incredibly,enticing.,smell,Whose opinion is it that the pizza,smelled,enticing?,The narrator's,Robert's,Both the narrator and Robert have this opinion.
154,39,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","When I entered the room,",Robert,tasted,the pizza on the counter.,It,tasted,incredibly,enticing.,taste,Whose opinion is it that the pizza,tasted,enticing?,The narrator's,Robert's,Both the narrator and Robert have this opinion.
155,39,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","When I entered the room,",Robert,put,the pizza on the counter.,It,was,incredibly,enticing.,baseline,Whose opinion is it that the pizza,was,enticing?,The narrator's,Robert's,Both the narrator and Robert have this opinion.
156,40,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","After I entered the room,",Jessica,saw,the brownie in the plate.,It,looked,absolutely,revolting.,vision,Whose opinion is it that the brownie,looked,revolting?,The narrator's,Jessica's,Both the narrator and Jessica have this opinion.
157,40,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","After I entered the room,",Jessica,smelled,the brownie in the plate.,It,smelled,absolutely,revolting.,smell,Whose opinion is it that the brownie,smelled,revolting?,The narrator's,Jessica's,Both the narrator and Jessica have this opinion.
158,40,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","After I entered the room,",Jessica,tasted,the brownie in the plate.,It,tasted,absolutely,revolting.,taste,Whose opinion is it that the brownie,tasted,revolting?,The narrator's,Jessica's,Both the narrator and Jessica have this opinion.
159,40,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","After I entered the room,",Jessica,put,the brownie in the plate.,It,was,absolutely,revolting.,baseline,Whose opinion is it that the brownie,was,revolting?,The narrator's,Jessica's,Both the narrator and Jessica have this opinion.
160,41,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","As soon as I walked into the room,",William,saw,the cheese on the table.,It,looked,truly,amazing.,vision,Whose opinion is it that the cheese,looked,amazing?,The narrator's,William's,Both the narrator and William have this opinion.
161,41,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","As soon as I walked into the room,",William,smelled,the cheese on the table.,It,smelled,truly,amazing.,smell,Whose opinion is it that the cheese,smelled,amazing?,The narrator's,William's,Both the narrator and William have this opinion.
162,41,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","As soon as I walked into the room,",William,tasted,the cheese on the table.,It,tasted,truly,amazing.,taste,Whose opinion is it that the cheese,tasted,amazing?,The narrator's,William's,Both the narrator and William have this opinion.
163,41,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","As soon as I walked into the room,",William,put,the cheese on the table.,It,was,truly,amazing.,baseline,Whose opinion is it that the cheese,was,amazing?,The narrator's,William's,Both the narrator and William have this opinion.
164,42,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","When I returned home after work,",Laura,saw,the bacon on the table.,It,looked,really,tantalizing.,vision,Whose opinion is it that the bacon,looked,interesting?,The narrator's,Laura's,Both the narrator and Laura have this opinion.
165,42,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","When I returned home after work,",Laura,smelled,the bacon on the table.,It,smelled,really,tantalizing.,smell,Whose opinion is it that the bacon,smelled,interesting?,The narrator's,Laura's,Both the narrator and Laura have this opinion.
166,42,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","When I returned home after work,",Laura,tasted,the bacon on the table.,It,tasted,really,tantalizing.,taste,Whose opinion is it that the bacon,tasted,interesting?,The narrator's,Laura's,Both the narrator and Laura have this opinion.
167,42,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","When I returned home after work,",Laura,put,the bacon on the table.,It,was,really,tantalizing.,baseline,Whose opinion is it that the bacon,was,interesting?,The narrator's,Laura's,Both the narrator and Laura have this opinion.
168,43,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","When I arrived at the gathering,",William,saw,the bacon in the bowl.,It,looked,absolutely,horrifying.,vision,Whose opinion is it that the bacon,looked,horrifying?,The narrator's,William's,Both the narrator and William have this opinion.
169,43,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","When I arrived at the gathering,",William,smelled,the bacon in the bowl.,It,smelled,absolutely,horrifying.,smell,Whose opinion is it that the bacon,smelled,horrifying?,The narrator's,William's,Both the narrator and William have this opinion.
170,43,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","When I arrived at the gathering,",William,tasted,the bacon in the bowl.,It,tasted,absolutely,horrifying.,taste,Whose opinion is it that the bacon,tasted,horrifying?,The narrator's,William's,Both the narrator and William have this opinion.
171,43,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","When I arrived at the gathering,",William,put,the bacon in the bowl.,It,was,absolutely,horrifying.,baseline,Whose opinion is it that the bacon,was,horrifying?,The narrator's,William's,Both the narrator and William have this opinion.
172,44,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","When I came into the room,",Emma,saw,the bacon on the table.,It,looked,absolutely,horrifying.,vision,Whose opinion is it that the bacon,looked,horrifying?,The narrator's,Emma's,Both the narrator and Emma have this opinion.
173,44,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","When I came into the room,",Emma,smelled,the bacon on the table.,It,smelled,absolutely,horrifying.,smell,Whose opinion is it that the bacon,smelled,horrifying?,The narrator's,Emma's,Both the narrator and Emma have this opinion.
174,44,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","When I came into the room,",Emma,tasted,the bacon on the table.,It,tasted,absolutely,horrifying.,taste,Whose opinion is it that the bacon,tasted,horrifying?,The narrator's,Emma's,Both the narrator and Emma have this opinion.
175,44,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","When I came into the room,",Emma,put,the bacon on the table.,It,was,absolutely,horrifying.,baseline,Whose opinion is it that the bacon,was,horrifying?,The narrator's,Emma's,Both the narrator and Emma have this opinion.
176,45,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","When I arrived at the gathering,",Daniel,saw,the milkshake on the tray.,It,looked,really,delicious.,vision,Whose opinion is it that the milkshake,looked,delicious?,The narrator's,Daniel's,Both the narrator and Daniel have this opinion.
177,45,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","When I arrived at the gathering,",Daniel,smelled,the milkshake on the tray.,It,smelled,really,delicious.,smell,Whose opinion is it that the milkshake,smelled,delicious?,The narrator's,Daniel's,Both the narrator and Daniel have this opinion.
178,45,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","When I arrived at the gathering,",Daniel,tasted,the milkshake on the tray.,It,tasted,really,delicious.,taste,Whose opinion is it that the milkshake,tasted,delicious?,The narrator's,Daniel's,Both the narrator and Daniel have this opinion.
179,45,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","When I arrived at the gathering,",Daniel,put,the milkshake on the tray.,It,was,really,delicious.,baseline,Whose opinion is it that the milkshake,was,delicious?,The narrator's,Daniel's,Both the narrator and Daniel have this opinion.
180,46,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","When I arrived,",Jessica,saw,the cheese on the tray.,It,looked,incredibly,unpleasant.,vision,Whose opinion is it that the cheese,looked,unpleasant?,The narrator's,Jessica's,Both the narrator and Jessica have this opinion.
181,46,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","When I arrived,",Jessica,smelled,the cheese on the tray.,It,smelled,incredibly,unpleasant.,smell,Whose opinion is it that the cheese,smelled,unpleasant?,The narrator's,Jessica's,Both the narrator and Jessica have this opinion.
182,46,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","When I arrived,",Jessica,tasted,the cheese on the tray.,It,tasted,incredibly,unpleasant.,taste,Whose opinion is it that the cheese,tasted,unpleasant?,The narrator's,Jessica's,Both the narrator and Jessica have this opinion.
183,46,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","When I arrived,",Jessica,put,the cheese on the tray.,It,was,incredibly,unpleasant.,baseline,Whose opinion is it that the cheese,was,unpleasant?,The narrator's,Jessica's,Both the narrator and Jessica have this opinion.
184,47,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","After I got home from school,",David,saw,the popcorn in the container.,It,looked,really,amazing.,vision,Whose opinion is it that the popcorn,looked,enticing?,The narrator's,David's,Both the narrator and David have this opinion.
185,47,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","After I got home from school,",David,smelled,the popcorn in the container.,It,smelled,really,amazing.,smell,Whose opinion is it that the popcorn,smelled,enticing?,The narrator's,David's,Both the narrator and David have this opinion.
186,47,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","After I got home from school,",David,tasted,the popcorn in the container.,It,tasted,really,amazing.,taste,Whose opinion is it that the popcorn,tasted,enticing?,The narrator's,David's,Both the narrator and David have this opinion.
